"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[2, 0, 0], [0, 0, 0], [0, 0, 0]]",1,[],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 2], [0, 0, 0]]",2,['nop_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[0, 0, 0], [0, 0, 2], [0, 0, 0]]","[[0, 0, 1], [0, 0, 2], [0, 0, 0]]",1,['scan_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[0, 0, 1], [0, 0, 2], [0, 0, 0]]","[[2, 0, 1], [0, 0, 2], [0, 0, 0]]",2,['nop_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[2, 0, 1], [0, 0, 2], [0, 0, 0]]","[[2, 0, 1], [1, 0, 2], [0, 0, 0]]",1,['nop_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[2, 0, 1], [1, 0, 2], [0, 0, 0]]","[[2, 0, 1], [1, 0, 2], [0, 0, 2]]",2,['nop_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[2, 0, 1], [1, 0, 2], [0, 0, 2]]","[[2, 0, 1], [1, 1, 2], [0, 0, 2]]",1,['scan_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[2, 0, 1], [1, 1, 2], [0, 0, 2]]","[[2, 0, 1], [1, 1, 2], [2, 0, 2]]",2,['kill_process_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[2, 0, 1], [1, 1, 2], [2, 0, 2]]","[[2, 0, 1], [1, 1, 2], [2, 1, 2]]",1,['scan_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[2, 0, 1], [1, 1, 2], [2, 1, 2]]","[[2, 2, 1], [1, 1, 2], [2, 1, 2]]",2,['kill_process_command'],bc87d826-c22c-46d5-be1d-8571fe76ffb0
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 2, 0]]",2,['nop_command'],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 0, 0], [0, 2, 0]]",1,['nop_command'],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 1], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 0, 0], [0, 2, 2]]",2,['nop_command'],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 1], [0, 0, 0], [0, 2, 2]]","[[1, 2, 1], [0, 0, 0], [0, 2, 2]]",1,[],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 1], [0, 0, 0], [0, 2, 2]]","[[1, 0, 1], [2, 0, 0], [0, 2, 2]]",2,['nop_command'],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 1], [2, 0, 0], [0, 2, 2]]","[[1, 2, 1], [2, 0, 0], [0, 2, 2]]",1,[],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[1, 0, 1], [2, 0, 0], [0, 2, 2]]","[[1, 0, 1], [2, 0, 0], [2, 2, 2]]",2,['kill_daemon_command'],bcd6d2f8-a9ea-4918-aee9-26def18efd61
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 2, 0]]",2,['nop_command'],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 2], [0, 0, 0], [0, 2, 0]]",1,[],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 0], [2, 0, 0], [0, 2, 0]]",2,['nop_command'],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [2, 0, 0], [0, 2, 0]]","[[1, 0, 2], [2, 0, 0], [0, 2, 0]]",1,[],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [2, 0, 0], [0, 2, 0]]","[[1, 0, 0], [2, 0, 0], [0, 2, 2]]",2,['nop_command'],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [2, 0, 0], [0, 2, 2]]","[[1, 0, 0], [2, 0, 0], [2, 2, 2]]",1,[],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[1, 0, 0], [2, 0, 0], [0, 2, 2]]","[[1, 0, 0], [2, 0, 0], [2, 2, 2]]",2,['kill_daemon_command'],86facd27-6ac5-41d4-bfb3-b69b97716c58
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[2, 0, 0], [0, 0, 0], [0, 0, 0]]",1,[],2cbea8c9-8a89-4adb-ac98-fc4adfa32a41
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 2, 0]]",2,['nop_command'],2cbea8c9-8a89-4adb-ac98-fc4adfa32a41
