"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,[],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 2, 0]]",2,['nop_command'],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[1, 0, 0], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 0, 0], [0, 2, 0]]",1,['nop_command'],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[1, 0, 1], [0, 0, 0], [0, 2, 0]]","[[1, 0, 1], [0, 0, 0], [0, 2, 0]]",2,[],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[1, 0, 1], [0, 0, 0], [0, 2, 0]]","[[1, 1, 1], [0, 0, 0], [0, 2, 0]]",1,['scan_command'],29ce2222-a412-46c3-aa16-82d90af09e3f
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],d8d3caec-6bc8-4778-be06-bc7d406e503a
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],d8d3caec-6bc8-4778-be06-bc7d406e503a
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,"['use_command', 'set_command']",d8d3caec-6bc8-4778-be06-bc7d406e503a
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",2,[],d8d3caec-6bc8-4778-be06-bc7d406e503a
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0], [0, 0, 0]]",1,['exploit_command'],d8d3caec-6bc8-4778-be06-bc7d406e503a
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",1,[],6a8835c2-adb5-4221-a430-22e3053d8c45
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],6a8835c2-adb5-4221-a430-22e3053d8c45
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],6a8835c2-adb5-4221-a430-22e3053d8c45
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],6a8835c2-adb5-4221-a430-22e3053d8c45
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,"['use_command', 'set_command']",6a8835c2-adb5-4221-a430-22e3053d8c45
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",2,[],6a8835c2-adb5-4221-a430-22e3053d8c45
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0], [0, 0, 0]]",1,['exploit_command'],6a8835c2-adb5-4221-a430-22e3053d8c45
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],0700e87b-cc34-462e-bfb8-8a14c8da0b94
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],0700e87b-cc34-462e-bfb8-8a14c8da0b94
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],0700e87b-cc34-462e-bfb8-8a14c8da0b94
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 2]]",2,['nop_command'],0700e87b-cc34-462e-bfb8-8a14c8da0b94
